NOMBRE,ALCALDIA,SISTEMA,LINEA,AÑO,lng,lat
Pantitlán,Venustiano Carranza,STC Metro,01,1984,-99.07473572701159,19.416334085596525
Zaragoza,Venustiano Carranza,STC Metro,01,1969,-99.0822888117768,19.41192045593743
Gomez Farías,Venustiano Carranza,STC Metro,01,1969,-99.09021039171121,19.416478456907367
Boulevard Puerto Aéreo,Venustiano Carranza,STC Metro,01,1969,-99.09625873241016,19.419941964850207
Balbuena,Venustiano Carranza,STC Metro,01,1969,-99.10277436397425,19.42335533557525
Moctezuma,Venustiano Carranza,STC Metro,01,1969,-99.10979926910476,19.42685434666967
San Lázaro,Venustiano Carranza,STC Metro,01,1969,-99.11426095239393,19.43005884961391
Candelaria,Venustiano Carranza,STC Metro,01,1969,-99.12090955005588,19.42954014071058
Merced,Venustiano Carranza,STC Metro,01,1969,-99.12502541851761,19.42548757157406
Pino Suárez,Cuauhtémoc,STC Metro,01,1969,-99.13263861199377,19.425923495107927
Isabel La Católica,Cuauhtémoc,STC Metro,01,1969,-99.13783045646255,19.42639351179822
Salto del Agua,Cuauhtémoc,STC Metro,01,1969,-99.14340629386963,19.426948189741864
Balderas,Cuauhtémoc,STC Metro,01,1969,-99.14948115142849,19.426997876088905
Cuauhtémoc,Cuauhtémoc,STC Metro,01,1969,-99.15459795134981,19.4256611110838
Insurgentes,Cuauhtémoc,STC Metro,01,1969,-99.16328887947714,19.423651800607303
Sevilla,Cuauhtémoc,STC Metro,01,1969,-99.17111907391485,19.421849915921573
Chapultepec,Miguel Hidalgo,STC Metro,01,1969,-99.17641673157046,19.42074629504737
Juanacatlán,Miguel Hidalgo,STC Metro,01,1970,-99.18198382947882,19.4129516424911
Tacubaya,Miguel Hidalgo,STC Metro,01,1970,-99.18763652631694,19.40251380233993
Observatorio,Álvaro Obregón,STC Metro,01,1972,-99.20040474604608,19.398282375699324
Cuatro Caminos,EDOMX,STC Metro,02,1984,-99.21584248969683,19.459593208492073
Panteones,Miguel Hidalgo,STC Metro,02,1984,-99.20294912952721,19.458638560770133
Tacuba,Miguel Hidalgo,STC Metro,02,1970,-99.18823093441412,19.459376010718714
Cuitláhuac,Miguel Hidalgo,STC Metro,02,1970,-99.18149576791224,19.457253889739235
Popotla,Miguel Hidalgo,STC Metro,02,1970,-99.17549381434115,19.452909219801555
Colegio Militar,Miguel Hidalgo,STC Metro,02,1970,-99.17177923331683,19.449273554997184
Normal,Miguel Hidalgo,STC Metro,02,1970,-99.16727403741045,19.44455770552456
San Cosme,Cuauhtémoc,STC Metro,02,1970,-99.16066207280677,19.441904254426483
Revolución,Cuauhtémoc,STC Metro,02,1970,-99.15422782571336,19.439227179139703
Hidalgo,Cuauhtémoc,STC Metro,02,1970,-99.14722340551585,19.43754674790357
Bellas Artes,Cuauhtémoc,STC Metro,02,1970,-99.14161363737124,19.436377755896043
Allende,Cuauhtémoc,STC Metro,02,1970,-99.13686784023699,19.43555800327121
Zócalo/Tenochtitlan,Cuauhtémoc,STC Metro,02,1970,-99.13225107327767,19.432501910975944
Pino Suárez,Cuauhtémoc,STC Metro,02,1970,-99.13294182670589,19.42438471172242
San Antonio Abad,Cuauhtémoc,STC Metro,02,1970,-99.13453987415669,19.41602164706914
Chabacano,Cuauhtémoc,STC Metro,02,1970,-99.1356181172527,19.40917986927759
